filename,model_name,n_try,score
hannoi_Q3.py_1_facebook_incoder-6B,facebook_incoder-6B,1,2
hannoi_Q3.py_0_facebook_incoder-6B,facebook_incoder-6B,0,0
hannoi_Q3.cs_2_facebook_incoder-6B,facebook_incoder-6B,2,2
hannoi_Q3.cs_1_facebook_incoder-6B,facebook_incoder-6B,1,0
hannoi_Q3.cs_0_facebook_incoder-6B,facebook_incoder-6B,0,0
hannoi_Q3.cpp_2_facebook_incoder-6B,facebook_incoder-6B,2,2
hannoi_Q3.cpp_1_facebook_incoder-6B,facebook_incoder-6B,1,2
hannoi_Q3.cpp_0_facebook_incoder-6B,facebook_incoder-6B,0,0
hannoi_Q2.py_2_facebook_incoder-6B,facebook_incoder-6B,2,2
hannoi_Q2.py_1_facebook_incoder-6B,facebook_incoder-6B,1,2
hannoi_Q2.py_0_facebook_incoder-6B,facebook_incoder-6B,0,2
hannoi_Q2.cs_2_facebook_incoder-6B,facebook_incoder-6B,2,2
hannoi_Q2.cs_1_facebook_incoder-6B,facebook_incoder-6B,1,0
hannoi_Q2.cs_0_facebook_incoder-6B,facebook_incoder-6B,0,2
hannoi_Q2.cpp_2_facebook_incoder-6B,facebook_incoder-6B,2,1
hannoi_Q2.cpp_1_facebook_incoder-6B,facebook_incoder-6B,1,0
hannoi_Q2.cpp_0_facebook_incoder-6B,facebook_incoder-6B,0,0
hannoi_Q1.py_2_facebook_incoder-6B,facebook_incoder-6B,2,0
hannoi_Q1.py_1_facebook_incoder-6B,facebook_incoder-6B,1,1
hannoi_Q1.py_0_facebook_incoder-6B,facebook_incoder-6B,0,1
hannoi_Q1.cs_2_facebook_incoder-6B,facebook_incoder-6B,2,0
hannoi_Q1.cs_1_facebook_incoder-6B,facebook_incoder-6B,1,0
hannoi_Q1.cs_0_facebook_incoder-6B,facebook_incoder-6B,0,0
hannoi_Q1.cpp_2_facebook_incoder-6B,facebook_incoder-6B,2,0
hannoi_Q1.cpp_1_facebook_incoder-6B,facebook_incoder-6B,1,0
hannoi_Q1.cpp_0_facebook_incoder-6B,facebook_incoder-6B,0,0
Nqueens_Q3.py_2_facebook_incoder-6B,facebook_incoder-6B,2,1
Nqueens_Q3.py_1_facebook_incoder-6B,facebook_incoder-6B,1,1
Nqueens_Q3.py_0_facebook_incoder-6B,facebook_incoder-6B,0,1
Nqueens_Q3.cs_2_facebook_incoder-6B,facebook_incoder-6B,2,1
Nqueens_Q3.cs_1_facebook_incoder-6B,facebook_incoder-6B,1,1
Nqueens_Q3.cs_0_facebook_incoder-6B,facebook_incoder-6B,0,1
Nqueens_Q3.cpp_2_facebook_incoder-6B,facebook_incoder-6B,2,1
Nqueens_Q3.cpp_1_facebook_incoder-6B,facebook_incoder-6B,1,1
Nqueens_Q3.cpp_0_facebook_incoder-6B,facebook_incoder-6B,0,1
Nqueens_Q2.py_2_facebook_incoder-6B,facebook_incoder-6B,2,0
Nqueens_Q2.py_1_facebook_incoder-6B,facebook_incoder-6B,1,0
Nqueens_Q2.py_0_facebook_incoder-6B,facebook_incoder-6B,0,0
Nqueens_Q2.cs_2_facebook_incoder-6B,facebook_incoder-6B,2,0
Nqueens_Q2.cs_1_facebook_incoder-6B,facebook_incoder-6B,1,0
Nqueens_Q2.cs_0_facebook_incoder-6B,facebook_incoder-6B,0,2
Nqueens_Q2.cpp_2_facebook_incoder-6B,facebook_incoder-6B,2,0
Nqueens_Q2.cpp_1_facebook_incoder-6B,facebook_incoder-6B,1,0
Nqueens_Q2.cpp_0_facebook_incoder-6B,facebook_incoder-6B,0,2
Nqueens_Q1.py_2_facebook_incoder-6B,facebook_incoder-6B,2,0
Nqueens_Q1.py_1_facebook_incoder-6B,facebook_incoder-6B,1,0
Nqueens_Q1.py_0_facebook_incoder-6B,facebook_incoder-6B,0,0
Nqueens_Q1.cs_2_facebook_incoder-6B,facebook_incoder-6B,2,0
Nqueens_Q1.cs_1_facebook_incoder-6B,facebook_incoder-6B,1,0
Nqueens_Q1.cs_0_facebook_incoder-6B,facebook_incoder-6B,0,0
Nqueens_Q1.cpp_2_facebook_incoder-6B,facebook_incoder-6B,2,0
Nqueens_Q1.cpp_1_facebook_incoder-6B,facebook_incoder-6B,1,0
Nqueens_Q1.cpp_0_facebook_incoder-6B,facebook_incoder-6B,0,0
